,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
265,Data Scientist,Montana State University,Bozeman,MT,US,en,"Bozeman, MT",Montana State University,"Fri, 10 Jan 2020 03:35:03 GMT","Bachelor’s degree in <b>data</b> <b>science</b>, statistics, social, behavioral or decision <b>sciences</b>, or related field from an accredited university or college, plus…",http://www.indeed.com/viewjob?jk=b66c51379591ca27&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",b66c51379591ca27,False,False,False,"Bozeman, MT",1 day ago,
266,Data Science Curriculum Writer,Thinkful,Remote,,US,en,Remote,Thinkful,"Thu, 09 Jan 2020 22:05:41 GMT","Thinkful is launching a new immersive <b>data</b> <b>science</b> program which aims to be the best in-class remote, full-time <b>data</b> <b>science</b> program offered today.",http://www.indeed.com/viewjob?jk=d9dc98090bd929b6&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",d9dc98090bd929b6,False,False,False,Remote,1 day ago,
267,Data Scientist,RAPS Consulting Inc.,Coopersburg,PA,US,en,"Coopersburg, PA",Indeed,"Thu, 09 Jan 2020 22:40:12 GMT",Enhance <b>data</b> collection procedures by assessing the effectiveness and accuracy of <b>data</b> sources and <b>data</b> gathering techniques.,http://www.indeed.com/viewjob?jk=f488292baaace6b5&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",f488292baaace6b5,False,False,True,"Coopersburg, PA",1 day ago,
268,Data Scientist,THEMESOFT,Tampa,FL,US,en,"Tampa, FL",Indeed,"Fri, 10 Jan 2020 16:20:33 GMT","10+ years of experience working as a <b>data</b> <b>scientist</b>. Degree in computer <b>science</b>, statistics, physics, applied mathematics, or similar quantitative fields.",http://www.indeed.com/viewjob?jk=008c90fc92f93c24&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",008c90fc92f93c24,False,False,True,"Tampa, FL",1 day ago,
269,Data Scientist,Centerra Solutions Inc.,Sunnyvale,CA,US,en,"Sunnyvale, CA",Indeed,"Fri, 10 Jan 2020 00:06:17 GMT",3+ experience as <b>data</b> <b>scientist</b> working on various <b>data</b> <b>science</b> projects. Experience with SQL and big <b>data</b> technologies like Spark.,http://www.indeed.com/viewjob?jk=d20a4c343f0665ab&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",d20a4c343f0665ab,False,False,True,"Sunnyvale, CA",1 day ago,
270,PayFlex Data Scientist - 67545BR,AETNA,Hartford,CT,US,en,"Hartford, CT",Aetna,"Fri, 10 Jan 2020 15:11:02 GMT","Demonstrates proficiency in several areas of <b>data</b> modeling, machine learning algorithms, statistical analysis, <b>data</b> engineering and <b>data</b> visualization.",http://www.indeed.com/viewjob?jk=19d7f71cc149aa88&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",19d7f71cc149aa88,False,False,False,"Hartford, CT 06156",1 day ago,
271,Data Scientist,Fulcrum Analytics,New York,NY,US,en,"New York, NY",Indeed,"Thu, 09 Jan 2020 17:16:35 GMT","The <b>Data</b> <b>Scientist</b> will have a number of responsibilities, including: Apply <b>data</b> <b>science</b> methods principles to test-and-control study design, implementation,…",http://www.indeed.com/viewjob?jk=072ed4d849af43d3&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",072ed4d849af43d3,False,False,True,"New York, NY 10018",1 day ago,
272,Data Scientist - Trello,Atlassian,New York,NY,US,en,"New York, NY",Atlassian,"Thu, 09 Jan 2020 21:38:30 GMT","Contribute to <b>data</b> team initiatives focused on ensuring fast, reliable, and comprehensive <b>data</b>. We are looking for a savvy <b>data</b> <b>scientist</b> to examine user…",http://www.indeed.com/viewjob?jk=fa01ba0bac6f913f&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",fa01ba0bac6f913f,False,False,False,"New York, NY",1 day ago,
273,Data Scientist,John Deere,Johnston,IA,US,en,"Johnston, IA",John Deere,"Fri, 10 Jan 2020 15:01:53 GMT","Statistics, <b>data</b> <b>science</b>, mathematics, economics, computer <b>science</b>) with minimum 4 years of experience required. There are 7 billion people on this planet.",http://www.indeed.com/viewjob?jk=2304fcbc93f2c6b6&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",2304fcbc93f2c6b6,False,False,False,"Johnston, IA 50131",1 day ago,
274,Data Scientist,Bank of America,Jersey City,NJ,US,en,"Jersey City, NJ",Bank of America,"Thu, 09 Jan 2020 18:50:53 GMT","Experience with and ability to work with <b>data</b> including rapid prototyping and coding skills using common <b>data</b> <b>scientist</b> tools (e.g., Python/R, Plotly, Shiny,…",http://www.indeed.com/viewjob?jk=de41e9fe9eb98094&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp1aotm5800,"indeed_clk(this,'4474');",de41e9fe9eb98094,False,False,False,"Jersey City, NJ",1 day ago,
275,Data Scientist,BP,,,US,en,United States,BP,"Thu, 09 Jan 2020 22:44:33 GMT","In conjunction with <b>Data</b> Engineers, building and managing new <b>data</b> tables that support <b>data</b> collection, cross-functional <b>data</b> integration, <b>data</b> visualization,…",http://www.indeed.com/viewjob?jk=7b7e332e6a1df6b9&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",7b7e332e6a1df6b9,False,False,False,United States,1 day ago,
276,Data Scientist,Discover Financial Services,West Valley City,UT,US,en,"West Valley City, UT",Discover Financial Services,"Thu, 09 Jan 2020 17:12:19 GMT","Creates best practices and drives excellence in <b>data</b> preparation, including sampling, <b>data</b> pulling, aggregation, and other <b>data</b> preparation treatments.",http://www.indeed.com/viewjob?jk=c40a6aea0083b2a3&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",c40a6aea0083b2a3,False,False,False,"West Valley City, UT 84120",1 day ago,
277,Data Scientist,BMO Harris Bank,,NJ,US,en,New Jersey,BMO Financial Group,"Thu, 09 Jan 2020 20:43:20 GMT","Supports <b>data</b> collection, integration, and retention requirements for <b>data</b>. This role would be attractive for <b>data</b> <b>scientists</b> who have experience with big data…",http://www.indeed.com/viewjob?jk=c0796b815899c503&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",c0796b815899c503,False,False,False,New Jersey,1 day ago,
278,Junior Data Scientist,Berkley,Chesterfield,MO,US,en,"Chesterfield, MO",Berkley,"Fri, 10 Jan 2020 09:13:48 GMT","JUNIOR <b>DATA</b> <b>SCIENTIST</b> – ENTRY LEVEL. Deep understanding of information technology practices relating to <b>data</b>, <b>data</b> warehousing, ETL processes and <b>data</b> mining.",http://www.indeed.com/viewjob?jk=53accde2cc382661&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",53accde2cc382661,False,False,False,"Chesterfield, MO 63017",1 day ago,
279,Senior Data Scientist - Ohio Only,Tran Products LLC,Columbus,OH,US,en,"Columbus, OH",Indeed,"Thu, 09 Jan 2020 19:29:30 GMT","<b>Data</b> Dictionary, <b>Data</b> Cleansing, <b>Data</b> Integration: Five years of experience with <b>Data</b> Dictionary, <b>Data</b> Cleansing, <b>Data</b> Integration and <b>Data</b> Flow Design.",http://www.indeed.com/viewjob?jk=ad45660291d25e33&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",ad45660291d25e33,False,False,True,"Columbus, OH",1 day ago,
280,Data Scientist,Nexstar Broadcasting,Los Angeles,CA,US,en,"Los Angeles, CA",Nexstar Broadcasting,"Fri, 10 Jan 2020 14:57:06 GMT",The <b>Data</b> <b>Scientist</b> will lead efforts to build better solutions and make more informed decisions using <b>data</b>. Affinity for <b>data</b> and analysis.,http://www.indeed.com/viewjob?jk=e1109eca42178c4c&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",e1109eca42178c4c,False,False,False,"Los Angeles, CA",1 day ago,
281,"Data Scientist, Bloomberg Law",Bloomberg,Princeton,NJ,US,en,"Princeton, NJ",Bloomberg,"Fri, 10 Jan 2020 05:10:32 GMT","Experience with financial <b>data</b>, or with alternative <b>data</b> that could inform investment theses (such as government <b>data</b>, web <b>data</b>, or geospatial <b>data</b>).",http://www.indeed.com/viewjob?jk=2dd283222ba0d850&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",2dd283222ba0d850,False,False,False,"Princeton, NJ",1 day ago,
282,Data Scientist 2,Humana,Frankfort,KY,US,en,"Frankfort, KY",Humana,"Fri, 10 Jan 2020 15:31:07 GMT","Using machine learning and <b>data</b> mining techniques to understand the patterns in large volumes of <b>data</b>, identify relationships, detect <b>data</b> anomalies, and…",http://www.indeed.com/viewjob?jk=cb9aba9ae5c0ff08&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",cb9aba9ae5c0ff08,False,False,False,"Frankfort, KY",1 day ago,
283,Associate Data Scientist,cloudteam,Jacksonville,FL,US,en,"Jacksonville, FL",cloudteam,"Thu, 09 Jan 2020 23:46:17 GMT","<b>Data</b> <b>Science</b>, Applied Mathematics, Computer <b>science</b> (e.g. Associate <b>Data</b> <b>Scientists</b> produce innovative solutions driven by exploratory <b>data</b> analysis from…",http://www.indeed.com/viewjob?jk=670d78c54d0d4295&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",670d78c54d0d4295,False,False,False,"Jacksonville, FL",1 day ago,
284,Developer III - Data Science,Inland Empire Health Plans,Rancho Cucamonga,CA,US,en,"Rancho Cucamonga, CA",Inland Empire Health Plan,"Fri, 10 Jan 2020 15:11:54 GMT","Under the direction of the <b>Data</b> <b>Science</b> Systems Manager, the <b>Data</b> <b>Science</b> Developer is responsible for creating, maintaining and updating IEHP enterprise…",http://www.indeed.com/viewjob?jk=c64967055e127bc6&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",c64967055e127bc6,False,False,False,"Rancho Cucamonga, CA 91730",1 day ago,
285,"Data Scientist, Amazon Fashion",Amazon.com Services LLC,Seattle,WA,US,en,"Seattle, WA",Amazon.com,"Fri, 10 Jan 2020 07:54:43 GMT","MS in Computer <b>Science</b>, Statistics, <b>Data</b> <b>Science</b> or equivalent industry experience. 3+ years in <b>Data</b> <b>Science</b> or similar quantitative roles.",http://www.indeed.com/viewjob?jk=3bbbc6e66051f5b0&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",3bbbc6e66051f5b0,False,False,False,"Seattle, WA",1 day ago,
286,Data Scientist,Crystal Management,Reston,VA,US,en,"Reston, VA",Crystal Management,"Thu, 09 Jan 2020 17:55:09 GMT","10 years of experience leading and delivering business solutions that rely on <b>data</b> <b>science</b>, <b>data</b> warehousing, or Business Intelligence.",http://www.indeed.com/viewjob?jk=9d87c94ac35b30af&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",9d87c94ac35b30af,False,False,True,"Reston, VA 20191",1 day ago,
287,Data Scientist,IHS Markit,San Francisco,CA,US,en,"San Francisco, CA",IHS,"Fri, 10 Jan 2020 04:00:57 GMT","4 years of relevant work experience (e.g., as a statistician / <b>data</b> <b>scientist</b>), including deep expertise and experience with statistical <b>data</b> analysis such as…",http://www.indeed.com/viewjob?jk=5767fa13d29cc454&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",5767fa13d29cc454,False,False,False,"San Francisco, CA 94105",1 day ago,
288,Associate Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",Chicago,IL,US,en,"Chicago, IL",HCSC,"Thu, 09 Jan 2020 19:00:05 GMT",<b>Data</b> <b>scientists</b> work embedded in specific business areas or on our centralized enterprise analytics team to develop <b>data</b> <b>science</b> products using machine learning…,http://www.indeed.com/viewjob?jk=2afceb2e42755491&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",2afceb2e42755491,False,False,False,"Chicago, IL",1 day ago,
289,VP of Data Science,American Credit Acceptance,Spartanburg,SC,US,en,"Spartanburg, SC",American Credit Acceptance,"Thu, 09 Jan 2020 23:03:04 GMT","Deep technical background and application of <b>data</b> <b>science</b> including machine learning, experimentation and statistics for structured and unstructured <b>data</b>.",http://www.indeed.com/viewjob?jk=8d2c7a2dddd3075e&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",8d2c7a2dddd3075e,False,False,False,"Spartanburg, SC 29302",1 day ago,
290,Production Data Scientist,Cepheid,Sunnyvale,CA,US,en,"Sunnyvale, CA",Danaher,"Thu, 09 Jan 2020 17:14:50 GMT","Comfort with statistics and its application to <b>data</b> analysis. The Production <b>Data</b> <b>Scientist</b> will engage in the day-to-day operations of the SPT program, improve…",http://www.indeed.com/viewjob?jk=a08cd87efc3e7a17&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",a08cd87efc3e7a17,False,False,False,"Sunnyvale, CA",1 day ago,
291,Data Analyst / Data Scientist,Khan Academy,Mountain View,CA,US,en,"Mountain View, CA",Khan Academy,"Fri, 10 Jan 2020 06:17:54 GMT","About the <b>Data</b> Analyst/ <b>Data</b> <b>Scientist</b> Role. As a result, many of our team members have a background in <b>data</b> <b>science</b>, whether formally or informally.",http://www.indeed.com/viewjob?jk=d35a6da63561e817&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",d35a6da63561e817,False,False,False,"Mountain View, CA",1 day ago,
292,Data Scientist,"GAP Solutions, Inc.",Rosslyn,VA,US,en,"Rosslyn, VA","GAP Solutions, Inc.","Thu, 09 Jan 2020 23:17:55 GMT",The <b>Data</b> <b>Scientist</b> will support the customer’s overall cyber threat analysis efforts. Serves as a <b>Data</b> <b>Scientist</b> for cybersecurity in support of a major federal…,http://www.indeed.com/viewjob?jk=e590ca944766f32f&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",e590ca944766f32f,False,False,False,"Rosslyn, VA 22209",1 day ago,
293,"Data Scientist, Bot Management",Cloudflare,Austin,TX,US,en,"Austin, TX",CloudFlare,"Thu, 09 Jan 2020 20:34:05 GMT","Work closely with <b>data</b> engineering team to ensure robust <b>data</b> pipelines and model deployment. Understand <b>data</b> landscape i.e tooling, tech stack, source systems…",http://www.indeed.com/viewjob?jk=3a6be6582b361679&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",3a6be6582b361679,False,False,True,"Austin, TX 78701",1 day ago,
294,Associate Data Review Scientist,Eurofins Lancaster Laboratories Inc.,Lancaster,PA,US,en,"Lancaster, PA",Lancaster Laboratories,"Thu, 09 Jan 2020 16:38:13 GMT","Ensures that our clients receive quality <b>data</b> by reviewing laboratory <b>data</b> for accuracy, clarity, and adherence to GMP and/or GLP regulations.",http://www.indeed.com/viewjob?jk=6219df3105a6da95&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",6219df3105a6da95,False,False,False,"Lancaster, PA",1 day ago,
295,WILDLIFE SPECIALIST 2 - HDMS DATA SPECIALIST,State of Arizona,Phoenix,AZ,US,en,"Phoenix, AZ",State of Arizona,"Thu, 09 Jan 2020 17:02:20 GMT",Enter spatial and tabular <b>data</b> on species occurrences. Designs and assembles materials for special project products or in response to <b>data</b> requests.,http://www.indeed.com/viewjob?jk=660661f53d4f52c6&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",660661f53d4f52c6,False,False,False,"Phoenix, AZ",1 day ago,
296,Data Scientist,Iron EagleX,Tampa,FL,US,en,"Tampa, FL",Iron EagleX,"Fri, 10 Jan 2020 04:32:34 GMT","Manage and integrate <b>data</b> across dissimilar <b>data</b> sets. Ability to merge <b>data</b> sources together, ensure consistency of data-sets, frame visualization techniques…",http://www.indeed.com/viewjob?jk=1ce598678eda584d&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",1ce598678eda584d,False,False,False,"Tampa, FL 33605",1 day ago,
297,Data Scientist,The Home Depot,Atlanta,GA,US,en,"Atlanta, GA",The Home Depot,"Fri, 10 Jan 2020 05:45:58 GMT","<b>Data</b> <b>Scientists</b> are responsible for organizing, analyzing, and then sharing insights gleaned from <b>data</b>. 10%-Seeks further knowledge on key developments within…",http://www.indeed.com/viewjob?jk=252750f04d29e7a3&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBbOu182WKd6FFq7E0AjIBiA&indpubnum=3622741264518966&atk=1duandp73hc3o801,"indeed_clk(this,'4659');",252750f04d29e7a3,False,False,False,"Atlanta, GA",1 day ago,
