,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
789,Enterprise Data Architect,American Century Investments,Kansas City,MO,US,en,"Kansas City, MO",American Century Investments,"Thu, 09 Jan 2020 16:01:19 GMT","Enterprise scale expertise in <b>data</b> analysis & modeling, including demonstrable experience with <b>data</b> management standard methodologies such as <b>data</b> governance,…",http://www.indeed.com/viewjob?jk=2b38acd20ccd8865&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",2b38acd20ccd8865,False,False,False,"Kansas City, MO 64111",2 days ago,
790,Senior Data Architect-Decision Sciences,JP Morgan Chase,Plano,TX,US,en,"Plano, TX",JP Morgan Chase,"Thu, 09 Jan 2020 11:12:42 GMT",Senior <b>Data</b> Architects within the CCB <b>Data</b> Infrastructure focus on <b>Data</b> Management and supporting our Decision <b>Science</b> and Analytics Partners.,http://www.indeed.com/viewjob?jk=e459d5aad3df05fc&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",e459d5aad3df05fc,False,False,False,"Plano, TX 75024",2 days ago,
791,Data Privacy Engineer,INTUITIVE SURGICAL,Sunnyvale,CA,US,en,"Sunnyvale, CA",Intuitive Surgical,"Thu, 09 Jan 2020 11:22:41 GMT",The <b>Data</b> Privacy team is responsible for secure-by-design and privacy-by-design aspects of <b>data</b> related services including;,http://www.indeed.com/viewjob?jk=af469591c83886a8&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",af469591c83886a8,False,False,False,"Sunnyvale, CA 94086",2 days ago,
792,Software Engineer-Data Stage,Federal Reserve Bank of Kansas City,Kansas City,MO,US,en,"Kansas City, MO",Federal Reserve Bank of Kansas City,"Wed, 08 Jan 2020 21:57:28 GMT","Computer / Management Information Systems (MIS/CIS), Computer <b>Science</b> (CS), Electrical/Computer Engineering (EE/CE), or an equivalent combination of related…",http://www.indeed.com/viewjob?jk=c586383f9c78c66f&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",c586383f9c78c66f,False,False,False,"Kansas City, MO 64108",2 days ago,
793,Sr. CRM Data Implementation Specialist,Auto Club Group,Tampa,FL,US,en,"Tampa, FL",Auto Club Group,"Thu, 09 Jan 2020 11:11:48 GMT",Five years performing exploratory <b>Data</b> analysis. Leverages CRM best practices to maximize customer <b>data</b> capture opportunities and optimize <b>data</b> workflows…,http://www.indeed.com/viewjob?jk=d349e1abeac73ccf&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",d349e1abeac73ccf,False,False,False,"Tampa, FL 33602",2 days ago,
794,Data Engineer-Big Data-Amazon Robotics,Amazon Robotics LLC,Westborough,MA,US,en,"Westborough, MA",Amazon.com,"Thu, 09 Jan 2020 07:54:42 GMT","A successful candidate should have a background in business analytics, <b>data</b> <b>science</b>, <b>data</b> visualization, and <b>data</b> engineering. Are you inspired by invention?",http://www.indeed.com/viewjob?jk=309309362646f6ac&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",309309362646f6ac,False,False,False,"Westborough, MA 01581",2 days ago,
795,"Sr. Data Architect, Data Warehouse & MPP - Nationwide Opportunities","Amazon Web Services, Inc.",,,US,en,United States,Amazon.com,"Thu, 09 Jan 2020 07:54:47 GMT","Industry leadership in the fields of database, <b>data</b> warehousing or <b>data</b> <b>sciences</b>. These professional services engagements will focus on customer solutions such…",http://www.indeed.com/viewjob?jk=1af17c0c7e9e16f2&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",1af17c0c7e9e16f2,False,False,False,United States,2 days ago,
796,Sr. Data Analyst,Workforce Logiq,Santa Clara,CA,US,en,"Santa Clara, CA",Workforce Logiq,"Wed, 08 Jan 2020 21:47:06 GMT","BS, MS in a field related to <b>Data</b> <b>Science</b>, Computer Engineering, Statistics, Mathematics, or a closely related quantitative is required.",http://www.indeed.com/viewjob?jk=3d412c4e5773c3a2&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",3d412c4e5773c3a2,False,False,False,"Santa Clara, CA",2 days ago,
797,Senior Data Science Manager,Wayfair,Boston,MA,US,en,"Boston, MA",Wayfair,"Thu, 09 Jan 2020 02:11:13 GMT",Leading development of Big <b>Data</b> Analytics solutions leveraging the latest <b>data</b> analysis techniques (including machine learning) for large quantities of…,http://www.indeed.com/viewjob?jk=34c1fb6d56dd1c98&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",34c1fb6d56dd1c98,False,False,False,"Boston, MA",2 days ago,
798,Principal Data Engineer,Intuit,Mountain View,CA,US,en,"Mountain View, CA",Intuit,"Thu, 09 Jan 2020 13:12:13 GMT","Creating Tools & Framework to determine Source Discovery, <b>Data</b> Availability and <b>Data</b> Change Tracking. Create Tools/Framework in Java to Manage Big <b>Data</b> Platform…",http://www.indeed.com/viewjob?jk=fe3a79f620ca70f7&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBQOt1pZ97YqmsBdOTwHm2V8&indpubnum=3622741264518966&atk=1duandsjjhc6g801,"indeed_clk(this,'8131');",fe3a79f620ca70f7,False,False,False,"Mountain View, CA 94041",2 days ago,
